 ,reviewer,,author,categorization_mutono,year of publication,title,journal,volume issue,pages,country of focus,OCP,country programme,subnational area,Year data was collected,study population,population sample size,ecological features,vector species,baseline microfilarial prevalence,Baseline Community Microfialrial Load,baseline annual transmission potential,baseline nodule prevalence,baseline vector biting rate,MDA of ivermectin,vector control (Yes/No),Method of vector control (aerial larviciding or ground larviciding),vector elimination achieved (Yes.No),year ivermectin MDA started,year vector control started,number of years of ivermectin control,number of years of vector control,treatment frequency,year of change of frequency,geographical coverage,therapeutic coverage,year therapeutic coverage was more than 80,proportion compliance,proportion not adherening,Final outcome,type of elimination achieved,How elimination was verified,nodular prevalence,method nodular prevalence was measured,microfilarial prevalence ,How prevalence was calculated,No.of positive/no.of people tested for prevalence,Community Microfialrial Load,method microfilarial prevalence was measured,method used to confirm skin snip,Ov16 seropositivity in children,samples_collected_for_ov16,Poolscreen PCR testing,Dissection of vector population samples,fly infectivity rate,No.flies tested,other important data collected,co_endemicity,comments,MDA halted,atp,abr,years_biannual,years_over80
EE4,Anita,,Agyemang et al,,2018,Evaluation of onchocerciasis control in the Upper Denkyira East municipal in the forest area of Ghana: Responses of participants and distributors to the CDTI programme,Acta Tropica,185;NA,357-362,Ghana,OCP & APOC,,Upper Denkyira East municipal,2006*&2013 (reporting for 2013),>17 years,447,,Simulium sanctipauli,,,,,,Yes,No,,,1999,NA,14,NA,Bi-annual,Biannual MDA was introduced in 2009,83.8% (2016),,,26%,,,,,,,,,,,,,,,,,,,,,The study focused on assessing compliance to CDTI,,,,,
EE5,Anita,,Boakye et al,,2018,Refocusing vector assessment towards the elimination of onchocerciasis from Africa: A review of the current status in selected countries,International Health,10;NA,127-132,"Niger,Senegal,Malawi,Chad,Guinea Bissau",APOC,,,2014-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Existing reports and publications from APOC were examined for information regarding transmission.,,,,,
EE6,Anita,,Lakwo et al,,2006,"Transmission of Onchocerca volvulus and prospects for the elimination of its vector, the blackfly Simulium neavei in the Mpamba-Nkusi focus in Western Uganda",Medical & Veterinary Entomology,20;1,93-101,Uganda,APOC,,Mpamba-Nkusi,2001-2003,,,,Simulium neavei,,,,,,Yes,Yes,Ground larviciding,,,2002,>10,,,,,71.30%,,,,,,,,,,,,,,,,,,Yes,,,,,The study focused on vector control,,,,,
EE7,Anita,,Akinsanya et al,,2019,"Infectivity of Simulium damnosum s.l. and therapeutic coverage of ivermectin distribution 10 years post treatment around Owena Dam, Ondo state, Nigeria",The Brazilian Journal of Infectious Diseases,23;6,410-418,Nigeria,APOC,,Ondo state,2016,,425,,Simulium damnosum,,,,,,,Yes,,,,,,,Annual,,,48%,,41.65%,58.35%,,,,,,,,,,,,,,,Yes,,,,,The study focused on entomological indices of S.damnosum,,,,,
EE8,Mutono,,Boatin et al,,1997,Patterns of epidemiology and control of onchocerciasis in West Africa,Journal of Helminthology,71,91-101,West Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a review paper- no primary data collected or reported,,,,,
EE9,Mutono,,Mbanefo et al,,2010,"Onchocerciasis in Anambra State, Southeast Nigeria:endemicity and clinical manifestations",Postgraduate Medical Journal,86,578-583,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.60%,Nodule palpation in the total study population,,,,,,,,,,,,,,,This study focuses more on the clinical manifestations of onchocerciasis after a decade long of ivermectin treatment. The only variable we can pick from this study is nodule prevalence,,,,,
EE10,Mutono,,Nji et al,,2021,Eliminating onchocerciasis within the Meme River Basin of Cameroon: A social ecological approach to understanding everyday realities and health systems,PLOS Neglected Tropical Diseases,15(6),,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This paper uses a socio-econolical approach to understand the control of onchocerciasis. It uses more of qualitative methods.,,,,,
EE11,Mutono,,Adewale et al,,2008,Seasonal biting of Simuulium Damnosum S.L and its implications on onchocerciasis treatment with ivermectin,West African Journal of Medicine,27:04:00,224-229,Nigeria,,,,,,,,Simulium damnosum s.l,,,115,,28420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,This paper focuses more on the parisitology and entomology but doesnt report on the epidemiology of the disease,,,,,
EE12,Mutono,,Nana-Djeunga et al,,2020,Collateral Impact of Community-Directed Treatment with Ivermectin for Onchocerciasis on Parasitological Indicators of Loa loa Infection,Pathogens,1.099305556,,Cameroon,,National Onchocerciasis Control Program,Yabassi health district,,,,forest,,,,,,,,,,,,,,,,,,,,61.20%,14.40%,,,,,,,,,,,,,,,,,,,,This paper focuses more on Loa loa infection,,,,,
EE13,Mutono,,Onah et al,,2020,"Status of onchocerca volvulus infection and transmission by blackflies after 15 years of ivermectin distribution at Adani, Nigeri",Tropical Biomedicine,37(1),174-185,Nigeria,,,Adani,,,,forest-savanna,Simulium damnosum,,,,,,Yes,,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This study focuses on the parasitology but no results on the epidemiology of oncho,,,,,
EE14,Mutono,,Sawadogo et al,,2019,Onchocerciasis in Burkina Faso: a Re-Emerging Vector-Borne Endemic Disease,Bulletin de la Societe de pathologie exotique,112,260-274,Burkina Faso,OCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDA had not been conducted for at least 10 years,,,,,
EE15,Ananthu,,Babalola and Bassi,,2017,"Impact assessment study after 27 years of community-directed treatment with ivermectin in Galadimawa, Kaduna State, Nigeria",Niger Postgrad Med J,24:01:00,14-19,Nigeria,APOC,NR,"Galadimawa (village), Kauru (Local Government), Kaduna State, North Western zone",,NR,1419 (estimated size of the village),NR,NR,-,-,-,-,-,Yes,No,,-,1989,-,27,-,-,-,76.2% (74.4-80.3%),-,,-,-,,-,-,-,-,-,,,-,-,,-,,-,-,,,,,"This article only reports that the mean proportions and ages of the visually disabled people have decreased (from 4.5% to 0.96%) and increased (from 54.2 to 71.4), respectively, following the 27 year treatment.

Mf prevalence and other evidences of potential Oncho elimination were given in Tekle et al., Parasit Vectors, 2012 (given above in the list for Anita).",,,,,
EE16,Ananthu,,"Mukendi, D. and Tepage, F. and Akonda, I. and Siewe, J. N. F. and Rotsaert, A. and Ndibmun, C. N. and Laudisoit, A. and Couvreur, S. and Kabutako, B. and Menon, S. and Hotterbeekx, A. and Colebunders, R.",,2019,"High prevalence of epilepsy in an onchocerciasis endemic health zone in the Democratic Republic of the Congo, despite 14 years of community-directed treatment with ivermectin: A mixed-method assessment",Int J Infect Dis,79:NA,187-194,Rep. of Congo,,NR,Aketi health zone (north of the country),,"children aged 7-10 for epilepsy; 
Case control study: 
Median age = 23.5 
Mean (SD) age = 19 (10.8)",65 (for the case control study),NR,Simulium damnosum s.l,NR,NR,NR,NR,NR,Yes,No,,-,2003,-,14,-,-,-,"80% in Wela village; 
96% in Makoko village",-,,"Drug usage by 51.8% in Wela; 
Drug usage by 64.5% in Makoko ",-,,Ongoing transmission reported,-,"86% among men in Wela village; 
70% among men in  Makoko village ",REMO,-,,,-,-,,"64.5% (overall)
Case control study (n=65): 
73.8% in without those with epilepsy
56.9% in without those without epilepsy",,-,-,,,,,"This article studies the Oncho prevalence and the ivermectin coverage in children aged 7-10 suffering from epilepsy (and they are not representative of the general population). 
However, they also report Ov-16 prevalence in those without epilepsy. 
The conclusion is that Oncho transmission is still going on. ",,,,,
EE17,Njoki,,"Atekem, K. and Dixon, R. and Nditanchou, R. and Biholong, B. and Oye, J. and Djeunga, H. N. and Nwane, P. and Ayisi, F. and Boakye, D. and Kamgno, J. and Schmidt, E. and Senyonjo, L.",,2020,Alternative treatment strategies in accelerating onchocerciasis elimination in the massangam health district in Cameroon,Am J Trop Med Hyg,103:05:00,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no primary data,,,,,
EE18,Mutono,,"Koala, L. and NikiÃ¨ma, A. S. and ParÃ©, A. B. and Drabo, F. and ToÃ©, L. D. and Belem, A. M. G. and Boakye, D. A. and TraorÃ©, S. and DabirÃ©, R. K.",,2019,"Entomological assessment of the transmission following recrudescence of onchocerciasis in the ComoÃ© Valley, Burkina Faso",Parasites Vectors,12:01,NA,Burkina Faso,OCP & APOC,NR,Comoe Valley,,entomological study,9114,,Simuliun damnosum,NR,NR,NR,NR,NR,No,No,NA,NA,NA,NA,NA,NA,NA,NA,Savanna,NA,,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,,NA,,No,Yes,,,,,"this study assesed entomological measures for transmission following recrudescence of oncho; these were parous rate, ATP and ABR",,,,,
EE19,Mutono,,"Brattig, N. W.",,2009,Successful elimination of onchocerciasis (river blindness) vectors from isolated foci in two African countries,Acta Trop,111:03:00,201-202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It is an editorial- no primary data,,,,,
EE20,Mutono,,Wanji et al,,2015,Relationship between oral declaration on adherence to ivermectin treatment and parasitological indicators of onchocerciasis in an area of persistent transmission despite a decade of mass drug administration in Cameroon,Parasites Vectors,0.796527778,,Cameroon,,,,,5 years and above and resident in the area for at least five years,,rain forest,,,,,,,,,,,,,,,,,95-100%,65%,,,,,,,,,,,,,,,,,,,,,,,The study enrolled participants that had not taken ivermectin for the past one year hence it may give us wrong results of the actual situation of the community,,,,,
EE21,Ananthu,,"Lawrence, J. and Sodahlon, Y. K. and Ogoussan, K. T.",,2015,"Growth, challenges, and solutions over 25 years of Mectizan and the impact on onchocerciasis control",PLoS Negl Trop Dis,9(5),e0003507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Article type: Historical profiles and perspectives; 
No primary data; 
Could be excluded.",,,,,
EE22,Anita,,Katabarwa et al,,2018,"After 70 years of fighting an age-old scourge, onchocerciasis in Uganda, the end is in sight",Int Health,10:NA,i79-i88,Uganda,,,,,,,,Simulium neavei & Simulium damnosum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Review*,,,,,
EE23,Ananthu,,Hendy et al,,2021,"Onchocerca volvulus transmission in the Mbam valley of Cameroon following 16Â years of annual community-directed treatment with ivermectin, and the description of a new cytotype of Simulium squamosum",Parasites Vectors,14:01,NA,Cameroon ,,NR,Central Region,2016-2017,Blackflies,-,savannah and forest,Simulium damnosum s.I,-,-,-,-,-,Yes,No,,No,2000,-,16,-,annual,-,-,-,,-,-,,Ongoing transmission reported,-,-,-,-,,,-,-,,-,,Yes,Wild M5 stereo microscopes illuminated with 6v bulbs,,,,,"No epi data. Annual transmission potential following the treatment duration: 
4488 at the river side; 
102 at 4.9 kms away; 
0 at 7.9 kms away. 
Vector biting rate following the treatment duration: 
606370 (annually at the riverside); 
20540 (annually at 7.9 kms away).",,102-4488,20540,,
EE24,Ananthu,,Wanji et al,,2019,Implementation of test-and-treat with doxycycline and temephos ground larviciding as alternative strategies for accelerating onchocerciasis elimination in an area of loiasis co-endemicity: The COUNTDOWN consortium multi-disciplinary study protocol,Parasites Vectors,12:01,NA,Cameroon ,APOC,,Rumpi Hills,,,,,Simulium damnosum s.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This is a study protocol. Oncho transmission despite >12 Ivermectin rounds is just the background for this study, and this article focuses on the effectiveness of the test-and-treat with the macrofilaricide named doxycycline (TTd) following a single intervention round; 
Hence this article is not of our interest. ",,,,,
EE25,Ananthu,,Eisenbarth et al,,2016,"Ongoing Transmission of Onchocerca volvulus after 25 Years of Annual Ivermectin Mass Treatments in the Vina du Nord River Valley, in North Cameroon",PLoS Negl Trop Dis,10:02,NA,Cameroon ,APOC,,"Vina du Nord river valley, North Cameroon ",2009-13,black flies,-,savannah,"Simulium damnosum sensu stricto; 
Simulium sirbanum ",-,,,,,Yes,No,,-,1987,-,25,-,annual,-,-,-,,-,-,,Ongoing transmission,-,-,-,-,-,-,-,-,,-,,Yes,"Stereomicroscope (Wild M5, Switzerland)",,,,,"No epi data. Main finding: 
Mean annual transmission potential during 2009-12 is 98 (range: 47-221), corresponding to vectors in Sudan savannah region.  ",,98,,,
EE26,Ananthu,,Nana-Djeunga et al,,2014,Reproductive Status of Onchocerca volvulus after Ivermectin Treatment in an Ivermectin-NaÃ¯ve and a Frequently Treated Population from Cameroon,PLoS Negl Trop Dis,08:04,NA,Cameroon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Focus is on the embryostatis effect of ivermectin by comparing a control group and a treated (for 13 years) group.  
This article further compares different aspects of the collected nodules and worms in the control and treated groups. 
The data doesn't seem to be of interest to us. ",,,,,
1,Anita,Mutono,Biritwum et al,Close to elimination,2021,Onchocerciasis control in Ghana (1974-2016),Parasites & Vectors,14;1,NA,Ghana,OCP,Ghana OCP/Ghana NTD Programme,"Ashanti, Brong Ahafo, Central, Eastern, Greater Accra, Northern, Upper East, Upper West, Volta, Western",1974-2016,">=20 years,resident in community for >=10  years",27603,Savannah,NR,69.3% (95% CI 60.2 -78.0) - in 1975; 9.8% (95% CI 2.2% - 17.3% in 1998 when CDTI began ,14.48 mf/s,,,,Yes,Yes (OCP),Aerial larviciding,,"1992 using mobile teams, 1998 using CDTI",1974,24,28,Bi-annual,Biannual MDA was introduced in 2009 after a remapping of oncho in Ghana,,83.80%,2013,,,,,,4% (0.3%-8%),Nodule palpation using REA guidelines (1091/27603),0.72% (0.19%-1.26%),No. of positives not given (presented as a figure),,0.07 mf/s(0.00-0.19),two skin snips from iliac crest incubated for 30 minutes under sterile normal saline solution at room temperature,microscope,,,Yes,Yes,2.8% in 2009-2010,89363,Blindness-4.5%,Yes- LF in some areas (doesnt specify where),The country did a REMO survey in 2008 and identified areas not previously identified as oncho-endemic,,,,7,3
2,Anita,Mutono,Anosike et al,Ongoing transmission,2007,"The varied beneficial effects of ivermectin (Mectizan) treatment, as observed within onchocerciasis foci in south-eastern Nigeria",Annals of Tropical Medicine & Parasitology,101;7,593-600,Nigeria,APOC,Global 2000 Carter Center Nigerian Programme,Abia,2005,">=20 years,at least one sign of oncho",934,,NR,,NR,NR,23.5% (adult population),NR,Yes,No,,,1994,NR,11,NR,Annual,NR,,,,,,,,,14.30%,Nodule palpation of adult population (134/934),,,,,,,,,,,,,,,"Other than the nodule palpation prevalence, all the other data was collected through qualitative studies hence it is not included in this study- has potential to be excluded in this review.",,,,,
2,Anita,Mutono,Anosike et al,Ongoing transmission,2007,"The varied beneficial effects of ivermectin (Mectizan) treatment, as observed within onchocerciasis foci in south-eastern Nigeria",Annals of Tropical Medicine & Parasitology,101;7,593-600,Nigeria,APOC,Global 2000 Carter Center Nigerian Programme,Imo,2005,">=20 years,at least one sign of oncho",1059,,NR,,NR,NR,24.8% (adult population),NR,Yes,No,,,1993,NR,12,NR,Annual,NR,,,,,,,,,1.50%,Nodule palpation of adult population (16/1059),,,,,,,,,,,,,,,"Other than the nodule palpation prevalence, all the other data was collected through qualitative studies hence it is not included in this study- has potential to be excluded in this review.",,,,,
2,Anita,Mutono,Anosike et al,Ongoing transmission,2007,"The varied beneficial effects of ivermectin (Mectizan) treatment, as observed within onchocerciasis foci in south-eastern Nigeria",Annals of Tropical Medicine & Parasitology,101;7,593-600,Nigeria,APOC,Global 2000 Carter Center Nigerian Programme,Enugu,2005,">=20 years,at least one sign of oncho",485,,NR,,NR,NR,34.3% (adult population),NR,Yes,No,,,1996,NR,10,NR,Annual,NR,,,,,,,,,11.90%,Nodule palpation of adult population (58/485),,,,,,,,,,,,,,,"Other than the nodule palpation prevalence, all the other data was collected through qualitative studies hence it is not included in this study- has potential to be excluded in this review.",,,,,
2,Anita,Mutono,Anosike et al,Ongoing transmission,2007,"The varied beneficial effects of ivermectin (Mectizan) treatment, as observed within onchocerciasis foci in south-eastern Nigeria",Annals of Tropical Medicine & Parasitology,101;7,593-600,Nigeria,APOC,Global 2000 Carter Center Nigerian Programme,Anambra,2005,">=20 years,at least one sign of oncho",346,,NR,,NR,NR,21.8% (adult population),NR,Yes,No,,,1996,NR,10,NR,Annual,NR,,,,,,,,,10.90%,Nodule palpation of adult population (41/301),,,,,,,,,,,,,,,"Other than the nodule palpation prevalence, all the other data was collected through qualitative studies hence it is not included in this study- has potential to be excluded in this review.",,,,,
3,Anita,Mutono,Gebrezgabiher et al,Close to elimination,2020,"Status of parasitological indicators and morbidity burden of onchocerciasis after years of successive implementation of mass distribution of ivermectin in selected communities of Yeki and Asosa districts, Ethiopia",BMC Public Health,20;1,1233,Ethiopia,APOC,National elimination program,Yeki,2017-2018,>=15 years,1435,Hilly & densely forested,,81%,14 mf/s,,44.20%,,Yes,No,,,2001,,15,,Bi-annual,2015,,82%,2012,,,,,,2.60%,Nodule palpation using REA guidelines (37/1435),0%,No. positive / number examined *100,0/1435,0 mf/mg of skin snip,two skin snips using disposable pricking needle & scalpel and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,,,,,,,Papular dermatitis- 2%; depigmentation- 4%; skin atrophy-0.7%,,,,,,7,6
4,Anita,Mutono,Tekle et al,Close to elimination,2012,"Impact of long-term treatment of onchocerciasis with ivermectin in Kaduna State, Nigeria: First evidence of the potential for elimination in the operational area of the African Programme for Onchocerciasis Control",Parasites & Vectors,05:28,NA,Nigeria,APOC,,Birnin Gwari,2008,>1 year,407,Savannah grassland,Simulium damnosum s.l,59%,5.7 mf/s,,,,Yes,No,,,1993,,15,,Annual,,,92%,,,,,,,,,0%,No. positive / number examined *100,0/407,0 mf/s,"two skin snips using 2mm Holth corneoscelar punch and incubated for 30 mins in distilled water, and a further 24 hours for negative skin snips under sterile normal saline solution at room temperature",microscope,,,,,,,,,,,,,,
4,Anita,Mutono,Tekle et al,Close to elimination,2012,"Impact of long-term treatment of onchocerciasis with ivermectin in Kaduna State, Nigeria: First evidence of the potential for elimination in the operational area of the African Programme for Onchocerciasis Control",Parasites & Vectors,05:28,NA,Nigeria,APOC,,Kauru,2008,>1 year,1718,Savannah grassland,Simulium damnosum s.l,26%,4.3 mf/s,,,,Yes,No,,,1993,,15,,Annual,,,92%,,,,,,,,,0%,No. positive / number examined *100,0/1718,0 mf/s,"two skin snips using 2mm Holth corneoscelar punch and incubated for 30 mins in distilled water, and a further 24 hours for negative skin snips under sterile normal saline solution at room temperature",microscope,,,,,,,,,,,,,,
4,Anita,Mutono,Tekle et al,Close to elimination,2012,"Impact of long-term treatment of onchocerciasis with ivermectin in Kaduna State, Nigeria: First evidence of the potential for elimination in the operational area of the African Programme for Onchocerciasis Control",Parasites & Vectors,05:28,NA,Nigeria,APOC,,Lere,2008,>1 year,1578,Savannah grassland,Simulium damnosum s.l,37%,3.4 mf/s,,,,Yes,No,,,1993,,15,,Annual,,,92%,,,,,,,,,0%,No. positive / number examined *100,0/1578,0 mf/s,"two skin snips using 2mm Holth corneoscelar punch and incubated for 30 mins in distilled water, and a further 24 hours for negative skin snips under sterile normal saline solution at room temperature",microscope,,,,,,,,,,,,,,
5,Anita,Mutono,Komlan et al,Ongoing transmission,2018,"Onchocerca volvulus infection and serological prevalence, ocular onchocerciasis and parasite transmission in northern and central Togo after decades of Simulium damnosum s.l. vector control and mass drug administration of ivermectin",PLOS Neglected Tropical Diseases,12;3,NA,Togo,OCP,National Onchocerciasis Control Programme (NOCP),Central Togo,2015,,1455,River basins,Simulium damnosum s.l,,,,,,Yes,Yes (OCP),Aerial larviciding,,1990,1976,25,26,Annual,Biannual MDA was done btn 2003-2012,,82.90%,2003,,,,,,,,5.9% (4.6-7.1),No. positive / number examined *100,83/1455,,"two skin snips using 2mm Holth corneoscelar punch and incubated for 30 mins in saline water, and a further 24 hours for negative skin snips under sterile normal saline solution at room temperature",microscope,14.9% (7.3%-22.6%);All ages: 34% (30.3-37.7),blood drops collected using Whatman 903 Protein Saver Cards and air dried,Yes,No- whole blackflies used- ground and DNA samples used in the Real Time PCR,8% of blackfly pools were positive (18/223),5575,IgG4-OvAg ELISA- 29.1% (22-35.9%); blindness-7%; cataract-17%; low vision- 5%,,"Annual biting rate: 15,519",,,15519,9,12
5,Anita,Mutono,Komlan et al,Ongoing transmission,2018,"Onchocerca volvulus infection and serological prevalence, ocular onchocerciasis and parasite transmission in northern and central Togo after decades of Simulium damnosum s.l. vector control and mass drug administration of ivermectin",PLOS Neglected Tropical Diseases,12;3,NA,Togo,OCP,National Onchocerciasis Control Programme (NOCP),Northern Togo,2015,,1455,River basins,Simulium damnosum s.l,,,,,,Yes,Yes (OCP),Aerial larviciding,,1990,1987,25,15,Annual,Biannual MDA was done btn 2003-2012,,82.90%,2003,,,,,,,,5.9% (4.6-7.1),No. positive / number examined *100,83/1455,,"two skin snips using 2mm Holth corneoscelar punch and incubated for 30 mins in saline water, and a further 24 hours for negative skin snips under sterile normal saline solution at room temperature",microscope,14.9% (7.3%-22.6%);All ages: 34% (30.3-37.7),blood drops collected using Whatman 903 Protein Saver Cards and air dried,Yes,No- whole blackflies used- ground and DNA samples used in the Real Time PCR,8% of blackfly pools were positive (18/223),5575,IgG4-OvAg ELISA- 29.1% (22-35.9%); blindness-7%; cataract-17%; low vision- 5%,,"Annual biting rate: 15,519",,,15519,9,12
6,Anita,Mutono,Osei-Atweneboana et al,Close to elimination,2007,Prevalence and intensity of Onchocerca volvulus infection and efficacy of ivermectin in endemic communities in Ghana: a two-phase epidemiological study,Lancet,369;9578,2021-2029,Ghana,OCP,Ghana OCP,Atebubu District,2004-2005,"18-65 years,permanent resident of the community for >=6 years,available ivermectin treatment history for >=6 years,ivermectin treatment received within 11-12 months,no contraindication for ivermectin",1395,Savannah ,,,,,,,Yes,,,,1986,,17,,Annual,,,67%,,,,,,,,,0.00%,No. positive / number examined *100,,0mf/s,two skin snips using 2mm Holth corneoscelar punch and incubated for 24 hours for negative skin snips under sterile normal saline solution at room temperature,microscope,,,,,,,"Pretreatment: nodular prevalence-4.9%, Mf prevalence- 9.8% CMFL- 0.4 mf/s",,,,,,,
6,Anita,Mutono,Osei-Atweneboana et al,Ongoing transmission,2007,Prevalence and intensity of Onchocerca volvulus infection and efficacy of ivermectin in endemic communities in Ghana: a two-phase epidemiological study,Lancet,369;9578,2021-2029,Ghana,OCP,Ghana OCP,Kintampo District,2004-2005,"18-65 years,permanent resident of the community for >=6 years,available ivermectin treatment history for >=6 years,ivermectin treatment received within 11-12 months,no contraindication for ivermectin",235,Savannah ,,,,,,,Yes,,,,1986,,17,,Annual,,,67%,,,,,,,,,1.68%,No. positive / number examined *100,,0.0095mf/s,two skin snips using 2mm Holth corneoscelar punch and incubated for 24 hours for negative skin snips under sterile normal saline solution at room temperature,microscope,,,,,,,"Pretreatment: nodular prevalence-19.1%, Mf prevalence- 43.3% CMFL- 2.1 mf/s",,,,,,,
